review_id,product_name,reviewer_name,rating,review_text,platform,clean_review,vader_sentiment,vader_score,textblob_sentiment,textblob_score,true_sentiment
31,Smartwatch,Isha,3,"Average Smartwatch, quality is decent for the price range.",Amazon,average smartwatch quality decent price range,neutral,0.0,neutral,0.008333333333333331,neutral
32,Wireless Bluetooth Earbuds,Kavya,1,"Really bad Wireless Bluetooth Earbuds, would not recommend to anyone.",Amazon,really bad wireless bluetooth earbuds would not recommend anyone,negative,-0.7098,negative,-0.6999999999999998,negative
33,Running Shoes,Anjali,5,"Superb product! The Running Shoes exceeded my expectations, five stars.",Flipkart,superb product running shoe exceeded expectation five star,positive,0.6588,positive,1.0,positive
34,Wireless Bluetooth Earbuds,Manoj,3,"Decent Wireless Bluetooth Earbuds for the price, some minor issues but usable.",Flipkart,decent wireless bluetooth earbuds price minor issue usable,neutral,0.0,neutral,0.05833333333333333,neutral
35,Running Shoes,Rohit,2,"Really bad Running Shoes, would not recommend to anyone. Would consider buying again.",Amazon,really bad running shoe would not recommend anyone would consider buying,negative,-0.7098,negative,-0.6999999999999998,negative
36,Air Fryer,Riya,2,Very disappointed with this Air Fryer. Stopped working within a week. Customer support responded quickly.,Amazon,disappointed air fryer stopped working within week customer support responded quickly,negative,-0.3804,negative,-0.3208333333333334,negative
37,Wireless Bluetooth Earbuds,Rahul,3,"Average Wireless Bluetooth Earbuds, quality is decent for the price range.",Amazon,average wireless bluetooth earbuds quality decent price range,neutral,0.0,neutral,0.008333333333333331,neutral
38,Cotton T-Shirt,Kavya,3,"Okay-ish product, the Cotton T-Shirt performs as expected, nothing more. Customer support responded quickly.",Amazon,okay ish product cotton shirt performs expected nothing customer support responded quickly,negative,-0.3536,positive,0.24444444444444446,neutral
39,Air Fryer,Rohit,5,"Perfect Air Fryer for daily use, no issues at all after a month.",Flipkart,perfect air fryer daily use no issue month,positive,0.3612,positive,0.5,positive
40,Smartwatch,Rahul,5,Best Smartwatch I have bought online. Great build quality and fast delivery.,Amazon,best smartwatch bought online great build quality fast delivery,positive,0.8519,positive,0.6666666666666666,positive
41,Kitchen Mixer Grinder,Sanjay,1,"The Kitchen Mixer Grinder is a total scam, completely different from the pictures. Packaging was neat.",Flipkart,kitchen mixer grinder total scam completely different picture packaging neat,negative,-0.1779,neutral,0.0,negative
42,Laptop Backpack,Pooja,3,"Average Laptop Backpack, quality is decent for the price range.",Flipkart,average laptop backpack quality decent price range,neutral,0.0,neutral,0.008333333333333331,neutral
43,Laptop Backpack,Sanjay,5,Impressed by the quality of the Laptop Backpack. Packaging was also very good.,Amazon,impressed quality laptop backpack packaging also good,positive,0.7425,positive,0.955,positive
44,Cotton T-Shirt,Vikram,1,"Terrible experience, the Cotton T-Shirt does not match the product description.",Flipkart,terrible experience cotton shirt not match product description,negative,-0.4767,negative,-1.0,negative
45,Smartphone Back Cover,Nisha,3,"It's a fine Smartphone Back Cover, met basic expectations, could be better.",Amazon,fine smartphone back cover met basic expectation could better,positive,0.5719,positive,0.22916666666666669,neutral
46,Power Bank 10000mAh,Priya,5,"Very happy with this Power Bank 10000mAh, will definitely buy again from this brand.",Amazon,happy power bank mah definitely buy brand,positive,0.7713,positive,0.5,positive
47,Cotton T-Shirt,Arjun,4,"Very happy with this Cotton T-Shirt, will definitely buy again from this brand. Packaging was neat.",Amazon,happy cotton shirt definitely buy brand packaging neat,positive,0.8655,positive,0.5,positive
48,Power Bank 10000mAh,Vikram,4,"This Power Bank 10000mAh is fantastic, exactly as described. Very satisfied customer.",Amazon,power bank mah fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
49,Gaming Keyboard,Priya,5,Impressed by the quality of the Gaming Keyboard. Packaging was also very good.,Flipkart,impressed quality gaming keyboard packaging also good,positive,0.7425,positive,0.955,positive
50,USB-C Charging Cable,Rohit,3,"The USB-C Charging Cable is okay, does the job but nothing special.",Amazon,usb charging cable okay job nothing special,negative,-0.3479,positive,0.4285714285714286,neutral
51,Cotton T-Shirt,Vikram,5,Impressed by the quality of the Cotton T-Shirt. Packaging was also very good.,Amazon,impressed quality cotton shirt packaging also good,positive,0.7425,positive,0.955,positive
52,Gaming Keyboard,Suresh,5,Best Gaming Keyboard I have bought online. Great build quality and fast delivery.,Flipkart,best gaming keyboard bought online great build quality fast delivery,positive,0.8519,positive,0.6666666666666666,positive
53,Wireless Mouse,Sneha,2,"Not worth the price, this Wireless Mouse broke on the second day.",Flipkart,not worth price wireless mouse broke second day,negative,-0.5371,neutral,-0.075,negative
54,Gaming Keyboard,Pooja,5,Great purchase! The Gaming Keyboard is durable and easy to use. Not sure if I will repurchase.,Flipkart,great purchase gaming keyboard durable easy use not sure repurchase,positive,0.7453,positive,0.39444444444444443,positive
55,Gaming Keyboard,Karan,1,"Not worth the price, this Gaming Keyboard broke on the second day. Packaging was neat.",Flipkart,not worth price gaming keyboard broke second day packaging neat,negative,-0.1195,neutral,-0.075,negative
56,Bluetooth Speaker,Sanjay,3,"Decent Bluetooth Speaker for the price, some minor issues but usable.",Flipkart,decent bluetooth speaker price minor issue usable,neutral,0.0,neutral,0.05833333333333333,neutral
57,Cotton T-Shirt,Sneha,3,"The Cotton T-Shirt is average, packaging could have been better.",Flipkart,cotton shirt average packaging could better,positive,0.4404,positive,0.175,neutral
58,Laptop Backpack,Pooja,1,"Terrible experience, the Laptop Backpack does not match the product description. Not sure if I will repurchase.",Flipkart,terrible experience laptop backpack not match product description not sure repurchase,negative,-0.6202,negative,-0.625,negative
59,Running Shoes,Deepak,1,"Really bad Running Shoes, would not recommend to anyone.",Amazon,really bad running shoe would not recommend anyone,negative,-0.7098,negative,-0.6999999999999998,negative
60,Bluetooth Speaker,Isha,4,"This Bluetooth Speaker is fantastic, exactly as described. Very satisfied customer.",Amazon,bluetooth speaker fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
61,USB-C Charging Cable,Sneha,5,Amazing value for money. The USB-C Charging Cable looks premium and works great.,Flipkart,amazing value money usb charging cable look premium work great,positive,0.8834,positive,0.7000000000000001,positive
62,LED Desk Lamp,Neha,5,"This LED Desk Lamp is fantastic, exactly as described. Very satisfied customer.",Amazon,led desk lamp fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
63,Smartwatch,Neha,5,"This Smartwatch is fantastic, exactly as described. Very satisfied customer.",Flipkart,smartwatch fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
64,LED Desk Lamp,Nisha,2,"Terrible experience, the LED Desk Lamp does not match the product description. Customer support responded quickly.",Flipkart,terrible experience led desk lamp not match product description customer support responded quickly,negative,-0.1027,negative,-0.33333333333333337,negative
65,Kitchen Mixer Grinder,Anjali,5,"Superb product! The Kitchen Mixer Grinder exceeded my expectations, five stars.",Amazon,superb product kitchen mixer grinder exceeded expectation five star,positive,0.6588,positive,1.0,positive
66,Bluetooth Speaker,Neha,5,"Perfect Bluetooth Speaker for daily use, no issues at all after a month. Packaging was neat.",Amazon,perfect bluetooth speaker daily use no issue month packaging neat,positive,0.6705,positive,0.5,positive
67,Wireless Mouse,Nisha,4,Absolutely loved this Wireless Mouse! Works perfectly and arrived on time. Not sure if I will repurchase.,Amazon,absolutely loved wireless mouse work perfectly arrived time not sure repurchase,positive,0.8282,positive,0.5416666666666666,positive
68,Kitchen Mixer Grinder,Karan,5,"Perfect Kitchen Mixer Grinder for daily use, no issues at all after a month.",Flipkart,perfect kitchen mixer grinder daily use no issue month,positive,0.3612,positive,0.5,positive
69,Running Shoes,Kavya,4,Absolutely loved this Running Shoes! Works perfectly and arrived on time.,Amazon,absolutely loved running shoe work perfectly arrived time,positive,0.8653,positive,0.9375,positive
70,Wireless Mouse,Sneha,3,"Reasonable Wireless Mouse, matches the description mostly. Packaging was neat.",Flipkart,reasonable wireless mouse match description mostly packaging neat,positive,0.4588,positive,0.35,neutral
71,Laptop Backpack,Manoj,2,"Really bad Laptop Backpack, would not recommend to anyone.",Flipkart,really bad laptop backpack would not recommend anyone,negative,-0.7098,negative,-0.6999999999999998,negative
72,Gaming Keyboard,Riya,3,"Reasonable Gaming Keyboard, matches the description mostly.",Flipkart,reasonable gaming keyboard match description mostly,neutral,0.0,positive,0.35,neutral
73,Bluetooth Speaker,Arjun,2,"Terrible experience, the Bluetooth Speaker does not match the product description.",Flipkart,terrible experience bluetooth speaker not match product description,negative,-0.4767,negative,-1.0,negative
74,Smartphone Back Cover,Isha,2,"Not worth the price, this Smartphone Back Cover broke on the second day.",Amazon,not worth price smartphone back cover broke second day,negative,-0.5371,neutral,-0.049999999999999996,negative
75,Laptop Backpack,Rahul,5,"This Laptop Backpack is fantastic, exactly as described. Very satisfied customer.",Flipkart,laptop backpack fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
76,Running Shoes,Karan,5,Great purchase! The Running Shoes is durable and easy to use. Not sure if I will repurchase.,Amazon,great purchase running shoe durable easy use not sure repurchase,positive,0.7453,positive,0.39444444444444443,positive
77,Gaming Keyboard,Pooja,3,"Okay-ish product, the Gaming Keyboard performs as expected, nothing more.",Flipkart,okay ish product gaming keyboard performs expected nothing,neutral,0.0,positive,0.2,neutral
78,Wireless Mouse,Arjun,5,"This Wireless Mouse is fantastic, exactly as described. Very satisfied customer.",Flipkart,wireless mouse fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
79,Kitchen Mixer Grinder,Manoj,5,Amazing value for money. The Kitchen Mixer Grinder looks premium and works great.,Amazon,amazing value money kitchen mixer grinder look premium work great,positive,0.8834,positive,0.7000000000000001,positive
80,Air Fryer,Vikram,4,"This Air Fryer is fantastic, exactly as described. Very satisfied customer. Not sure if I will repurchase.",Flipkart,air fryer fantastic exactly described satisfied customer not sure repurchase,positive,0.6938,positive,0.2625,positive
81,Laptop Backpack,Suresh,5,"This Laptop Backpack is fantastic, exactly as described. Very satisfied customer. Would consider buying again.",Flipkart,laptop backpack fantastic exactly described satisfied customer would consider buying,positive,0.7713,positive,0.43333333333333335,positive
82,Bluetooth Speaker,Riya,2,"I regret buying this Bluetooth Speaker, it stopped functioning after few uses.",Amazon,regret buying bluetooth speaker stopped functioning us,negative,-0.5719,negative,-0.2,negative
83,Power Bank 10000mAh,Priya,5,Amazing value for money. The Power Bank 10000mAh looks premium and works great.,Amazon,amazing value money power bank mah look premium work great,positive,0.8834,positive,0.7000000000000001,positive
84,Smartwatch,Sneha,5,Absolutely loved this Smartwatch! Works perfectly and arrived on time. Not sure if I will repurchase.,Amazon,absolutely loved smartwatch work perfectly arrived time not sure repurchase,positive,0.8282,positive,0.5416666666666666,positive
85,Kitchen Mixer Grinder,Sneha,1,"Poor build quality, the Kitchen Mixer Grinder feels cheap and flimsy.",Amazon,poor build quality kitchen mixer grinder feel cheap flimsy,negative,-0.4767,neutral,0.0,negative
86,Bluetooth Speaker,Karan,5,Absolutely loved this Bluetooth Speaker! Works perfectly and arrived on time.,Flipkart,absolutely loved bluetooth speaker work perfectly arrived time,positive,0.8653,positive,0.9375,positive
87,Power Bank 10000mAh,Nisha,5,"Perfect Power Bank 10000mAh for daily use, no issues at all after a month. Would consider buying again.",Amazon,perfect power bank mah daily use no issue month would consider buying,positive,0.3612,positive,0.5,positive
88,Wireless Mouse,Divya,3,"The Wireless Mouse is okay, does the job but nothing special.",Flipkart,wireless mouse okay job nothing special,negative,-0.3479,positive,0.4285714285714286,neutral
89,Smartphone Back Cover,Riya,4,Amazing value for money. The Smartphone Back Cover looks premium and works great.,Amazon,amazing value money smartphone back cover look premium work great,positive,0.8834,positive,0.46666666666666673,positive
90,Running Shoes,Divya,3,"Reasonable Running Shoes, matches the description mostly.",Amazon,reasonable running shoe match description mostly,neutral,0.0,positive,0.35,neutral
91,Power Bank 10000mAh,Deepak,5,"Very happy with this Power Bank 10000mAh, will definitely buy again from this brand.",Flipkart,happy power bank mah definitely buy brand,positive,0.7713,positive,0.5,positive
92,USB-C Charging Cable,Manoj,3,"Average USB-C Charging Cable, quality is decent for the price range.",Amazon,average usb charging cable quality decent price range,neutral,0.0,neutral,0.008333333333333331,neutral
93,Wireless Mouse,Riya,5,"Perfect Wireless Mouse for daily use, no issues at all after a month.",Flipkart,perfect wireless mouse daily use no issue month,positive,0.3612,positive,0.5,positive
94,Laptop Backpack,Nisha,5,Amazing value for money. The Laptop Backpack looks premium and works great.,Flipkart,amazing value money laptop backpack look premium work great,positive,0.8834,positive,0.7000000000000001,positive
95,LED Desk Lamp,Riya,4,"Superb product! The LED Desk Lamp exceeded my expectations, five stars. Not sure if I will repurchase.",Amazon,superb product led desk lamp exceeded expectation five star not sure repurchase,positive,0.5315,positive,0.375,positive
96,Power Bank 10000mAh,Rahul,5,Great purchase! The Power Bank 10000mAh is durable and easy to use.,Flipkart,great purchase power bank mah durable easy use,positive,0.807,positive,0.7166666666666667,positive
97,Smartwatch,Pooja,5,"Superb product! The Smartwatch exceeded my expectations, five stars.",Flipkart,superb product smartwatch exceeded expectation five star,positive,0.6588,positive,1.0,positive
98,LED Desk Lamp,Manoj,5,"This LED Desk Lamp is fantastic, exactly as described. Very satisfied customer.",Flipkart,led desk lamp fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
99,Bluetooth Speaker,Isha,5,"Excellent quality Bluetooth Speaker, totally worth the price. Highly recommended!",Amazon,excellent quality bluetooth speaker totally worth price highly recommended,positive,0.8062,positive,0.5,positive
100,Smartwatch,Sanjay,5,Great purchase! The Smartwatch is durable and easy to use.,Flipkart,great purchase smartwatch durable easy use,positive,0.807,positive,0.7166666666666667,positive
101,Smartphone Back Cover,Neha,1,"Terrible experience, the Smartphone Back Cover does not match the product description.",Amazon,terrible experience smartphone back cover not match product description,negative,-0.4767,negative,-0.5,negative
102,Power Bank 10000mAh,Isha,4,"Very happy with this Power Bank 10000mAh, will definitely buy again from this brand.",Flipkart,happy power bank mah definitely buy brand,positive,0.7713,positive,0.5,positive
103,Power Bank 10000mAh,Deepak,3,"Reasonable Power Bank 10000mAh, matches the description mostly. Shipping was quick.",Flipkart,reasonable power bank mah match description mostly shipping quick,neutral,0.0,positive,0.3444444444444444,neutral
104,Kitchen Mixer Grinder,Arjun,5,Amazing value for money. The Kitchen Mixer Grinder looks premium and works great.,Flipkart,amazing value money kitchen mixer grinder look premium work great,positive,0.8834,positive,0.7000000000000001,positive
105,Smartphone Back Cover,Priya,2,"I regret buying this Smartphone Back Cover, it stopped functioning after few uses.",Amazon,regret buying smartphone back cover stopped functioning us,negative,-0.5719,neutral,-0.1,negative
106,Laptop Backpack,Sneha,1,"Terrible experience, the Laptop Backpack does not match the product description.",Flipkart,terrible experience laptop backpack not match product description,negative,-0.4767,negative,-1.0,negative
107,Air Fryer,Karan,1,"The Air Fryer is a total scam, completely different from the pictures.",Flipkart,air fryer total scam completely different picture,negative,-0.5719,neutral,0.0,negative
108,Office Chair,Nisha,5,"Perfect Office Chair for daily use, no issues at all after a month.",Amazon,perfect office chair daily use no issue month,positive,0.3612,positive,0.5,positive
109,Air Fryer,Rohit,3,"Average Air Fryer, quality is decent for the price range.",Amazon,average air fryer quality decent price range,neutral,0.0,neutral,0.008333333333333331,neutral
110,Bluetooth Speaker,Anjali,1,The Bluetooth Speaker arrived damaged and customer service was unhelpful. Shipping was quick.,Amazon,bluetooth speaker arrived damaged customer service unhelpful shipping quick,negative,-0.4404,positive,0.3333333333333333,negative
111,Running Shoes,Kavya,5,"Perfect Running Shoes for daily use, no issues at all after a month.",Flipkart,perfect running shoe daily use no issue month,positive,0.3612,positive,0.5,positive
112,Power Bank 10000mAh,Arjun,4,Great purchase! The Power Bank 10000mAh is durable and easy to use.,Amazon,great purchase power bank mah durable easy use,positive,0.807,positive,0.7166666666666667,positive
113,Running Shoes,Vikram,5,"Superb product! The Running Shoes exceeded my expectations, five stars.",Amazon,superb product running shoe exceeded expectation five star,positive,0.6588,positive,1.0,positive
114,Wireless Bluetooth Earbuds,Manoj,5,"Very happy with this Wireless Bluetooth Earbuds, will definitely buy again from this brand.",Flipkart,happy wireless bluetooth earbuds definitely buy brand,positive,0.7713,positive,0.5,positive
115,Power Bank 10000mAh,Nisha,5,"Very happy with this Power Bank 10000mAh, will definitely buy again from this brand.",Amazon,happy power bank mah definitely buy brand,positive,0.7713,positive,0.5,positive
116,Office Chair,Deepak,5,Amazing value for money. The Office Chair looks premium and works great. Packaging was neat.,Amazon,amazing value money office chair look premium work great packaging neat,positive,0.9231,positive,0.7000000000000001,positive
117,Wireless Mouse,Anjali,1,"Terrible experience, the Wireless Mouse does not match the product description.",Flipkart,terrible experience wireless mouse not match product description,negative,-0.4767,negative,-1.0,negative
118,LED Desk Lamp,Divya,1,"Terrible experience, the LED Desk Lamp does not match the product description.",Flipkart,terrible experience led desk lamp not match product description,negative,-0.4767,negative,-1.0,negative
119,Smartphone Back Cover,Sneha,5,"This Smartphone Back Cover is fantastic, exactly as described. Very satisfied customer.",Amazon,smartphone back cover fantastic exactly described satisfied customer,positive,0.7713,positive,0.325,positive
120,USB-C Charging Cable,Karan,5,Great purchase! The USB-C Charging Cable is durable and easy to use.,Amazon,great purchase usb charging cable durable easy use,positive,0.807,positive,0.7166666666666667,positive
121,Kitchen Mixer Grinder,Sanjay,5,"Very happy with this Kitchen Mixer Grinder, will definitely buy again from this brand. Not sure if I will repurchase.",Amazon,happy kitchen mixer grinder definitely buy brand not sure repurchase,positive,0.6938,positive,0.25,positive
122,Cotton T-Shirt,Rohit,3,"Reasonable Cotton T-Shirt, matches the description mostly.",Flipkart,reasonable cotton shirt match description mostly,neutral,0.0,positive,0.35,neutral
123,Air Fryer,Vikram,1,Delivery was late and the Air Fryer was defective on arrival. Customer support responded quickly.,Flipkart,delivery late air fryer defective arrival customer support responded quickly,negative,-0.0516,neutral,0.016666666666666663,negative
124,Kitchen Mixer Grinder,Nisha,3,"Reasonable Kitchen Mixer Grinder, matches the description mostly.",Amazon,reasonable kitchen mixer grinder match description mostly,neutral,0.0,positive,0.35,neutral
125,Power Bank 10000mAh,Rahul,4,Impressed by the quality of the Power Bank 10000mAh. Packaging was also very good.,Amazon,impressed quality power bank mah packaging also good,positive,0.7425,positive,0.955,positive
126,Gaming Keyboard,Vikram,3,"Reasonable Gaming Keyboard, matches the description mostly.",Flipkart,reasonable gaming keyboard match description mostly,neutral,0.0,positive,0.35,neutral
127,Office Chair,Riya,2,"Really bad Office Chair, would not recommend to anyone.",Flipkart,really bad office chair would not recommend anyone,negative,-0.7098,negative,-0.6999999999999998,negative
128,Smartwatch,Sanjay,5,Best Smartwatch I have bought online. Great build quality and fast delivery. Customer support responded quickly.,Amazon,best smartwatch bought online great build quality fast delivery customer support responded quickly,positive,0.9001,positive,0.5833333333333334,positive
129,Gaming Keyboard,Sanjay,5,"This Gaming Keyboard is fantastic, exactly as described. Very satisfied customer.",Flipkart,gaming keyboard fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
130,Gaming Keyboard,Manoj,5,"Very happy with this Gaming Keyboard, will definitely buy again from this brand.",Flipkart,happy gaming keyboard definitely buy brand,positive,0.7713,positive,0.5,positive
131,USB-C Charging Cable,Suresh,5,Impressed by the quality of the USB-C Charging Cable. Packaging was also very good.,Amazon,impressed quality usb charging cable packaging also good,positive,0.7425,positive,0.955,positive
132,Power Bank 10000mAh,Divya,5,"This Power Bank 10000mAh is fantastic, exactly as described. Very satisfied customer.",Amazon,power bank mah fantastic exactly described satisfied customer,positive,0.7713,positive,0.43333333333333335,positive
133,USB-C Charging Cable,Vikram,2,"I regret buying this USB-C Charging Cable, it stopped functioning after few uses.",Flipkart,regret buying usb charging cable stopped functioning us,negative,-0.5719,negative,-0.2,negative
134,Wireless Bluetooth Earbuds,Manoj,5,"Perfect Wireless Bluetooth Earbuds for daily use, no issues at all after a month.",Amazon,perfect wireless bluetooth earbuds daily use no issue month,positive,0.3612,positive,0.5,positive
135,LED Desk Lamp,Divya,3,"The LED Desk Lamp is okay, does the job but nothing special.",Amazon,led desk lamp okay job nothing special,negative,-0.3479,positive,0.4285714285714286,neutral
136,Smartphone Back Cover,Karan,5,"Very happy with this Smartphone Back Cover, will definitely buy again from this brand.",Amazon,happy smartphone back cover definitely buy brand,positive,0.7713,positive,0.3333333333333333,positive
137,Gaming Keyboard,Riya,5,Impressed by the quality of the Gaming Keyboard. Packaging was also very good.,Amazon,impressed quality gaming keyboard packaging also good,positive,0.7425,positive,0.955,positive
138,Air Fryer,Divya,5,"Very happy with this Air Fryer, will definitely buy again from this brand.",Amazon,happy air fryer definitely buy brand,positive,0.7713,positive,0.5,positive
139,Wireless Mouse,Amit,2,"Waste of money, the Wireless Mouse quality is really poor. Would consider buying again.",Amazon,waste money wireless mouse quality really poor would consider buying,negative,-0.7346,negative,-0.30000000000000004,negative
140,USB-C Charging Cable,Vikram,2,"Terrible experience, the USB-C Charging Cable does not match the product description.",Amazon,terrible experience usb charging cable not match product description,negative,-0.4767,negative,-1.0,negative
141,LED Desk Lamp,Karan,5,Best LED Desk Lamp I have bought online. Great build quality and fast delivery. Customer support responded quickly.,Amazon,best led desk lamp bought online great build quality fast delivery customer support responded quickly,positive,0.9001,positive,0.5833333333333334,positive
142,Kitchen Mixer Grinder,Arjun,3,"It's a fine Kitchen Mixer Grinder, met basic expectations, could be better.",Flipkart,fine kitchen mixer grinder met basic expectation could better,positive,0.5719,positive,0.3055555555555556,neutral
143,Bluetooth Speaker,Anjali,2,Delivery was late and the Bluetooth Speaker was defective on arrival.,Amazon,delivery late bluetooth speaker defective arrival,negative,-0.4404,negative,-0.3,negative
144,Kitchen Mixer Grinder,Divya,3,"Decent Kitchen Mixer Grinder for the price, some minor issues but usable.",Flipkart,decent kitchen mixer grinder price minor issue usable,neutral,0.0,neutral,0.05833333333333333,neutral
145,Kitchen Mixer Grinder,Sneha,2,"Not worth the price, this Kitchen Mixer Grinder broke on the second day.",Amazon,not worth price kitchen mixer grinder broke second day,negative,-0.5371,neutral,-0.075,negative
